id,scientific_name,variety,date,time_period,mckittrick,unknown,unsure,family,c3_c4,woody_forb_grass,life_cycle,match,match_ls,match_1,match_2,match_s,match_s_1,match_s_2,match_uncertainty,latitude,longitude,elevation_ft,elevation_m,elevation_estimate,match_below_500ft,match_500ft_id
GUMO23-001,Cheilanthes eatonii,NA,7/15/1905,present,n,n,n,Pteridaceae,c3,forb,perennial,y,y,TTC000197,NA,n,NA,NA,n,31.896603,-104.826575,5820.83,1774,n,y,TTC000197
GUMO23-003,Verbena perennis,NA,7/15/1905,present,n,n,n,Verbenaceae,c3,woody,perennial,y,y,TTC021907,NA,n,NA,NA,n,31.896603,-104.826575,5820.83,1774,n,y,TTC021907
GUMO23-004,Fallugia paradoxa,NA,7/15/1905,present,n,n,n,Rosaceae,c3,woody,perennial,y,y,TTC020585,NA,n,NA,NA,n,31.896603,-104.826575,5820.83,1774,n,y,TTC020585
GUMO23-009,Chrysactinia mexicana,NA,7/15/1905,present,n,n,n,Asteraceae,c3,forb,perennial,y,y,TTC020109,NA,n,NA,NA,n,31.89565,-104.825054,5792.49,1766,n,y,TTC020109
GUMO23-022,Ceanothus greggii,NA,7/15/1905,present,n,n,n,Rhamnaceae,c3,woody,perennial,y,y,TTC020525,NA,n,NA,NA,n,31.89354,-104.85131,8139.2,2481,n,y,TTC020525
GUMO23-046,Petrophytum caespitosum,NA,7/15/1905,present,n,n,n,Rosaceae,c3,woody,perennial,y,y,TTC020581,NA,y,TTC020582,NA,n,31.891509,-104.86042,8741.34,2664,n,y,TTC020581
GUMO23-048,Valeriana texana,NA,7/15/1905,present,n,n,n,Valerianaceae,c3,forb,perennial,y,y,TTC020790,NA,n,NA,NA,n,31.891509,-104.86042,8741.34,2664,n,y,TTC020790
GUMO23-057,Quercus gambelii,NA,7/15/1905,present,n,n,n,Fagaceae,c3,woody,perennial,y,y,TTC022159,NA,n,NA,NA,n,31.891332,-104.858218,8446.88,2575,n,y,TTC022159
GUMO23-094,Morus microphylla,NA,7/15/1905,present,n,n,n,Moraceae,c3,woody,perennial,y,y,TTC020657,NA,n,NA,NA,n,31.902755,-104.834665,6051.35,1844,n,y,TTC020657
GUMO23-126,Pseudocymopterus longiradiatus,NA,2023,present,n,n,n,Apiaceae,c3,forb,perennial,y,y,TTC022294,NA,y,TTC022606,NA,n,31.916083,-104.84322,7859.84,2396,n,y,TTC022294
GUMO23-127,Berberis repens,NA,7/15/1905,present,n,n,n,Berberidaceae,c3,woody,perennial,y,y,TTC020047,NA,n,NA,NA,n,31.916083,-104.84322,7859.84,2396,n,y,TTC020047
GUMO23-131,Symphoricarpos oreophilus,NA,7/15/1905,present,n,n,n,Caprifoliaceae,c3,woody,perennial,y,y,TTC020093,NA,n,NA,NA,n,31.91471,-104.83186,8250.82,2515,n,y,TTC020093
GUMO23-186,Asclepias asperula,NA,7/15/1905,present,n,n,n,Asclepiadaceae,c3,forb,perennial,y,y,TTC020017,NA,n,NA,NA,n,31.896647,-104.829471,5895.7,1797,n,y,TTC020017
GUMO23-192,Giliastrum rigidulum,NA,7/15/1905,present,n,n,n,Polemoniaceae,c3,woody,perennial,y,y,TTC022323,NA,n,NA,NA,n,31.896269,-104.8322,6072.11,1851,n,y,TTC022323
GUMO23-195,Hedeoma costata,pulchella,7/15/1905,present,n,n,n,Lamiaceae,c3,forb,perennial,y,y,TTC020436,NA,n,NA,NA,n,31.896269,-104.8322,6072.11,1851,n,y,TTC020436
GUMO23-207,Rhus virens,NA,7/15/1905,present,n,n,n,Anacardiaceae,c3,woody,perennial,y,y,TTC020028,NA,n,NA,NA,n,31.90561,-104.842924,6589.3,2008,n,y,TTC020028
GUMO23-214,Chaetopappa ericoides,NA,7/15/1905,present,n,n,n,Asteraceae,c3,woody,perennial,y,y,TTC008247,NA,n,NA,NA,n,31.907899,-104.802502,5563.65,1696,n,y,TTC008247
GUMO23-220,Ratibida columnifera,NA,7/15/1905,present,n,n,n,Asteraceae,c3,forb,perennial,y,y,TTC020260,NA,n,NA,NA,n,31.911159,-104.80313,5655.54,1724,n,y,TTC020260
GUMO23-230,Psilostrophe tagetina,NA,7/15/1905,present,n,n,n,Asteraceae,c3,woody,perennial,y,y,TTC010275,NA,n,NA,NA,n,31.914017,-104.802615,5729.1,1746,n,y,TTC010275
GUMO23-241,Philadelphus hitchcockianus/mearnsii,NA,7/15/1905,present,n,n,n,Hydrangeaceae,c3,woody,perennial,y,y,TTC021791,NA,n,NA,NA,n,31.918553,-104.806609,5920.6,1805,n,y,TTC021791
GUMO22-007,Lonicera albiflora,dumosa,7/14/1905,present,y,n,n,Caprifoliaceae,c3,woody,perennial,y,y,TTC020090,NA,n,NA,NA,n,31.96006,-104.765241,5344,1629,n,y,TTC020090
GUMO22-009,Fallugia paradoxa,NA,7/14/1905,present,y,n,n,Rosaceae,c3,woody,perennial,y,y,TTC020585,NA,n,NA,NA,n,31.9796,-104.755,5026,1532,n,n,NA
GUMO22-011,Linum rupestre,NA,7/14/1905,present,y,n,n,Linaceae,c3,forb,perennial,y,y,TTC021877,NA,n,NA,NA,n,31.9796,-104.755,5026,1532,n,y,TTC021877
GUMO22-013,Verbena perennis,NA,7/14/1905,present,y,n,n,Verbenaceae,c3,woody,perennial,y,y,TTC021907,NA,n,NA,NA,n,31.9796,-104.755,5026,1532,n,n,NA
