id,cn_sample_weight,n_reten_time,n_response,n_rb,n_weight_m,n_weight_p,n_peak_type,c_reten_time,c_response,c_rb,c_weight_m,c_weight_p,c_peak_type
GUMO23-001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO23-241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUMO22-007,NA,NA,NA,NA,NA,1.597,NA,NA,NA,NA,NA,44.14,NA
GUMO22-009,2.036,2.232,60.289,A,0.03,1.461,Ordnr,3.608,5011.706,A,0.906,44.475,Ordnr
GUMO22-011,2.067,2.003,34.104,A,0.019,0.903,Ordnr,3.149,4219.903,A,0.937,45.342,Ordnr
GUMO22-013,3.392,2.265,81.324,A,0.04,1.182,Ordnr,3.56,7949.161,A,1.465,43.178,Ordnr
GUMO22-014,2.496,2.268,65.58,A,0.032,1.296,Ordnr,3.616,6568.771,A,1.199,48.038,Ordnr
GUMO22-031,2.781,1.995,91.028,A,0.052,1.863,Ordnr,3.124,5144.064,A,1.151,41.383,Ordnr
GUMO22-032,2.317,1.988,61.47,A,0.035,1.495,Ordnr,3.137,4553.44,A,1.014,43.761,Ordnr
GUMO22-033,2.562,2.247,52.146,A,0.026,1.004,Ordnr,3.567,6641.691,A,1.213,47.343,Ordnr
GUMO22-076,3.128,2.259,47.643,A,0.024,0.752,Ordnr,3.531,8157.279,A,1.505,48.117,Ordnr
GUMO22-077,3.4,2.255,138.661,A,0.068,2.005,Ordnr,3.523,8686.984,A,1.609,47.315,Ordnr
GUMO22-078,2.122,2.233,86.869,A,0.043,2.017,Ordnr,3.613,5685.604,A,1.032,48.623,Ordnr
GUMO22-079,2.91,2.251,163.218,A,0.08,2.755,Ordnr,3.567,7677.05,A,1.412,48.516,Ordnr
